"","year","Country","Country.GDP","Region","Country.Scaled.GDP","in.degree","out.degree","degree","betweeness","eigenvector.cent","katz.cent","hub.level","authority.level","community"
"1",2014,"AUS",1.47e+12,"East Asia & Pacific",1.52251634196628,1,0,1,0,0.109643951335363,1.58536585365854,1.81988104839825e-17,0.409464537199268,"1"
"2",2014,"AUT",4.42e+11,"Europe & Central Asia",0.465819323846593,2,3,5,0,0.280040340757755,2.32765398108816,0.106094888073208,0.679377085371716,"2"
"3",2014,"BEL",5.35e+11,"Europe & Central Asia",0.561415454863257,6,2,8,43.3333333333333,0.364749055395325,5.45146344570848,0.07520253745997,0.906842471569665,"3"
"4",2014,"BGR",56814543481,"Europe & Central Asia",0.0698812661357949,4,0,4,0,0.218035217215595,3.48836235158122,7.27952419359298e-17,0.715466972597461,"4"
"5",2014,"BRA",2.46e+12,"Latin America & Caribbean",2.54015257536949,1,0,1,0,0.109643951335363,1.58536585365854,1.81988104839825e-17,0.409464537199268,"5"
"6",2014,"CAN",1.8e+12,"North America",1.86172841976735,2,0,2,0,0.1456606566626,2.0609756097561,3.63976209679649e-17,0.500056192959896,"6"
"7",2014,"CHE",7.09e+11,"Europe & Central Asia",0.740272732249274,2,1,3,0,0.228205426667464,2.32765398108816,0.0382960639979329,0.679377085371715,"2"
"8",2014,"CHN",1.04e+13,"East Asia & Pacific",10.7018007503407,1,8,9,0,0.324814362487456,1.58536585365854,0.226963542260854,0.409464537199268,"7"
"9",2014,"CYP",23128114787,"Europe & Central Asia",0.0352544677388582,2,1,3,1,0.160634891811758,1.88536585365854,0.0266999232842379,0.47732682011226,"8"
"10",2014,"CZE",2.08e+11,"Europe & Central Asia",0.225287123224016,5,2,7,3.25,0.324652743391669,5.61661813692257,0.0748540503639222,0.862976838179166,"2"
"11",2014,"DEU",3.88e+12,"Europe & Central Asia",3.99979242530136,1,21,22,89.3333333333333,0.667513344449525,2.47429375809875,0.659184187276989,0.0416528540765756,"2"
"12",2014,"DNK",3.53e+11,"Europe & Central Asia",0.374334854379031,2,0,2,0,0.130283043081792,2.10805229188742,3.63976209679649e-17,0.459398979085723,"9"
"13",2014,"ESP",1.37e+12,"Europe & Central Asia",1.41972480323869,2,2,4,2,0.187511431270451,2.28366204798498,0.0585929466283646,0.448056006241629,"10"
