"","year","Country","Country.GDP","Region","Country.Scaled.GDP","in.degree","out.degree","degree","betweeness","eigenvector.cent","katz.cent","hub.level","authority.level","community"
"1",2005,"AUS",6.93e+11,"East Asia & Pacific",0.686943063905693,1,0,1,0,0.112489186388176,1.78082191780822,0,0.334587028512451,"1"
"2",2005,"AUT",3.16e+11,"Europe & Central Asia",0.309757521945219,1,4,5,0,0.206937463666924,1.3,0.165065995040777,0.257837622298109,"2"
"3",2005,"BEL",3.86e+11,"Europe & Central Asia",0.379791972707111,5,1,6,2,0.372479736722889,4.1841095890411,0.0515408339258883,0.746143025153828,"3"
"4",2005,"BGR",29636617750,"Europe & Central Asia",0.0232532048852699,4,0,4,0,0.259347062713639,3.14931506849315,0,0.748432468223164,"4"
"5",2005,"BRA",8.92e+11,"Latin America & Caribbean",0.886041002500214,1,0,1,0,0.112489186388176,1.78082191780822,0,0.334587028512451,"5"
"6",2005,"CAN",1.17e+12,"North America",1.1641778212403,2,0,2,0,0.152179918773293,2.31506849315068,0,0.418657534687168,"6"
"7",2005,"CHE",4.087e+11,"Europe & Central Asia",0.402503144597038,1,1,2,0,0.140720129618073,1.3,0.0515408339258883,0.257837622298109,"7"
"8",2005,"CHN",2.29e+12,"East Asia & Pacific",2.28472903343057,1,3,4,0,0.197323622130556,1.78082191780822,0.0824004438808043,0.334587028512451,"8"
"9",2005,"CYP",18433411267,"Europe & Central Asia",0.0120444847022849,2,0,2,0,0.126746834700964,2.31506849315068,0,0.340458194141984,"9"
"10",2005,"CZE",1.36e+11,"Europe & Central Asia",0.129668934271783,2,1,3,0,0.156788996978199,1.83424657534247,0.0406229802754411,0.384762907806345,"10"
"11",2005,"DEU",2.85e+12,"Europe & Central Asia",2.8450046395257,0,23,23,0,0.705656809910603,1,0.770614519769148,2.00954547724885e-16,"3"
"12",2005,"DNK",2.64e+11,"Europe & Central Asia",0.257731929950671,3,1,4,4,0.209862691958836,2.71518892066837,0.0135223577022784,0.625464464154171,"11"
"13",2005,"ESP",1.15e+12,"Europe & Central Asia",1.14416797816547,2,2,4,1,0.244039410144781,2.40506849315069,0.0835151036154436,0.401418994163487,"3"
"14",2005,"EST",14098326328,"Europe & Central Asia",0.00770726623501345,5,0,5,0,0.275527269276425,3.99001956947162,5.91534764182564e-17,0.765592308225035,"11"
"15",2005,"FIN",2.05e+11,"Europe & Central Asia",0.198702892879933,3,1,4,0,0.174412411024737,2.46861357820262,0.039459266013164,0.417802721149956,"11"
"16",2005,"FRA",2.2e+12,"Europe & Central Asia",2.19468473959385,2,5,7,1,0.404818958486555,2.08082191780822,0.199744640275402,0.59242465081056,"3"
"17",2005,"GBR",2.54e+12,"Europe & Central Asia",2.53485207186589,1,6,7,4,0.343379385118302,1.78082191780822,0.221225704094917,0.334587028512451,"3"
"18",2005,"GRC",2.48e+11,"Europe & Central Asia",0.24172405549081,1,1,2,0,0.126746834700964,1.78082191780822,0.0175474992429798,0.334587028512451,"9"
"19",2005,"HRV",1.12981e+11,"Europe & Central Asia",0.106638605384812,5,0,5,0,0.297225950615808,3.53931506849315,5.91534764182564e-17,0.8499846300762,"2"
"20",2005,"HUN",1.13e+11,"Europe & Central Asia",0.106657614735733,4,0,4,0,0.261191240830836,3.00506849315068,0,0.774578877107941,"12"
"21",2005,"IDN",2.86e+11,"East Asia & Pacific",0.279742757332979,1,0,1,0,0.112489186388176,1.78082191780822,0,0.334587028512451,"13"
"22",2005,"IND",8.2e+11,"South Asia",0.814005567430839,1,0,1,0,0.112489186388176,1.78082191780822,0,0.334587028512451,"14"
"23",2005,"IRL",2.12e+11,"Europe & Central Asia",0.205706337956122,4,1,5,0,0.331526516045796,3.14931506849315,0.0515408339258883,0.75051440794897,"3"
"24",2005,"ITA",1.86e+12,"Europe & Central Asia",1.8545174073218,1,5,6,0,0.320339322756092,1.78082191780822,0.225369624469625,0.334587028512451,"3"
"25",2005,"JPN",4.76e+12,"East Asia & Pacific",4.7559446531716,1,3,4,0,0.153217573062808,1.78082191780822,0.0489486181802183,0.334587028512451,"15"
"26",2005,"KOR",8.98e+11,"East Asia & Pacific",0.892043955422661,2,1,3,0,0.153217573062808,2.31506849315069,0.0242614452440821,0.350964601219161,"15"
"27",2005,"LTU",26125575942,"Europe & Central Asia",0.0197404351049087,3,1,4,0,0.268067735356933,2.61506849315068,0.0377264848524214,0.719349936318796,"16"
"28",2005,"LUX",37347394603,"Europe & Central Asia",0.0309677766259465,11,1,12,5.5,0.545309030774552,8.15360273972603,0.0483458460527233,1,"3"
"29",2005,"LVA",16909366521,"Europe & Central Asia",0.0105196898919612,4,0,4,0,0.268067735356933,3.39958904109589,0,0.731972728781788,"16"
"30",2005,"MEX",8.77e+11,"Latin America & Caribbean",0.871033620194094,2,0,2,0,0.152179918773293,2.31506849315068,0,0.418657534687168,"17"
"31",2005,"MLT",6394851387,"Middle East & North Africa",0,8,0,8,0,0.434533029909356,7.28813561643836,0,0.938010551444333,"3"
"32",2005,"NLD",6.85e+11,"Europe & Central Asia",0.678939126675762,4,1,5,0.5,0.312085089373882,3.14931506849315,0.0384568337444133,0.75051440794897,"3"
"33",2005,"NOR",3.09e+11,"Europe & Central Asia",0.30275407686903,2,0,2,0,0.0566212128089706,2.16861357820262,0,0.107059064307304,"11"
"34",2005,"POL",3.06e+11,"Europe & Central Asia",0.299752600407805,2,0,2,0,0.125423827521535,1.83424657534247,0,0.384762907806345,"18"
